prediction_class,target_class,similarity
0,0,0.8197091519832611
0,0,0.9599980711936951
0,0,0.8110231757164001
0,0,0.8407527804374695
0,0,0.8629416823387146
0,0,0.8685325384140015
0,0,0.9066974520683289
0,0,0.8920876383781433
0,0,0.9047538638114929
0,0,0.9895258545875549
0,0,0.9792656302452087
0,0,0.7777888774871826
0,0,0.7821961939334869
0,0,0.919183760881424
1,1,0.9651866853237152
1,1,0.9233452081680298
1,1,0.9511024653911591
1,1,0.9255170226097107
1,1,0.9452387690544128
1,1,0.9472489953041077
1,1,0.9547173380851746
1,1,0.9388596415519714
1,1,0.9876518845558167
1,1,0.9694318175315857
1,1,0.9346272945404053
1,1,0.9114454090595245
1,1,0.964468389749527
1,1,0.9529149532318115
1,1,0.9493120610713959
1,1,0.9036818742752075
2,2,0.8771879076957703
2,2,0.9391895234584808
2,2,0.9640851020812988
2,2,0.9230928122997284
2,2,0.8916753828525543
2,2,0.9567073583602905
2,2,0.9701733589172363
2,2,0.945199579000473
2,2,0.9342458844184875
2,2,0.940278559923172
2,2,0.9479179382324219
2,2,0.9510289430618286
2,2,0.8687220215797424
2,2,0.9283104538917542
2,2,0.9512144029140472
2,2,0.9450276494026184
2,2,0.9844954013824463
2,2,0.909189760684967
2,2,0.8822943866252899
2,2,0.9783869385719299
3,3,0.9609997868537903
3,3,0.8858722448348999
3,3,0.9277588725090027
3,3,0.9330123960971832
3,3,0.8857463896274567
3,3,0.9319953918457031
4,4,0.9092005789279938
4,4,0.93929722905159
4,4,0.9311684370040894
4,4,0.9437069594860077
4,4,0.9777920544147491
5,5,0.8994529843330383
5,5,0.9143092334270477
5,5,0.9663460850715637
5,5,0.9321487843990326
5,5,0.9291725754737854
5,5,0.9490842223167419
5,5,0.9273599982261658
5,5,0.9140387773513794
5,5,0.9796522855758667
5,5,0.9244115352630615
5,5,0.9007300436496735
5,5,0.9256658554077148
5,5,0.9206690490245819
5,5,0.9259017407894135
5,5,0.9367741942405701
5,5,0.9296423494815826
5,5,0.9798130393028259
5,5,0.9552513062953949
5,5,0.9271410703659058
5,5,0.8996991515159607
5,5,0.8986230194568634
6,6,0.924066036939621
6,6,0.9000159800052643
6,6,0.9264905452728271
6,6,0.8830030560493469
6,6,0.9782907366752625
6,6,0.9052198529243469
6,6,0.8653708696365356
7,7,0.9785804450511932
7,7,0.8831966519355774
7,7,0.8625785708427429
7,7,0.898240715265274
7,7,0.952566385269165
7,7,0.9590754508972168
7,7,0.8945358395576477
7,7,0.9413184821605682
7,7,0.9351101517677307
7,7,0.9548919796943665
7,7,0.9315704703330994
7,7,0.8439158797264099
7,7,0.8570457696914673
7,7,0.9434492290019989
8,8,0.9209558069705963
8,8,0.9864424765110016
8,8,0.950681209564209
8,8,0.957588255405426
8,8,0.9556355476379395
8,8,0.9093835949897766
8,8,0.9690617024898529
8,8,0.9236778616905212
8,8,0.9526203870773315
8,8,0.9552920460700989
8,8,0.9586573839187622
8,8,0.8997948169708252
8,8,0.920573890209198
8,8,0.9586274325847626
8,8,0.8628287315368652
8,8,0.8818141222000122
9,9,0.6859988123178482
9,9,0.978661984205246
9,9,0.7544876337051392
9,9,0.8119047284126282
7,9,0.707041472196579
9,9,0.6942718625068665
9,9,0.9732633829116821
9,9,0.8309362828731537
9,9,0.975967288017273
9,9,0.8167048394680023
9,9,0.7683200836181641
9,9,0.7839624881744385
9,9,0.8274710178375244
9,9,0.8753566145896912
9,9,0.801629364490509
9,9,0.9553917050361633
9,9,0.8326693773269653
9,9,0.8479300737380981
9,9,0.7674057483673096
9,9,0.8175283968448639
9,9,0.8125955760478973
9,9,0.821429967880249
9,9,0.6954801976680756
10,10,0.9449225962162018
10,10,0.8800337910652161
10,10,0.9568110704421997
10,10,0.9186380803585052
10,10,0.9808028936386108
10,10,0.9357436895370483
10,10,0.9230020046234131
10,10,0.9696713387966156
10,10,0.9075732529163361
10,10,0.9672942757606506
11,11,0.9350993037223816
11,11,0.9897232055664062
11,11,0.8842462599277496
11,11,0.91636723279953
11,11,0.9193044602870941
12,12,0.9277960658073425
12,12,0.9447848200798035
12,12,0.9074670672416687
12,12,0.9786238968372345
13,13,0.9206419289112091
13,13,0.9539726376533508
13,13,0.928826093673706
13,13,0.9209744036197662
13,13,0.9143518209457397
13,13,0.9272915124893188
13,13,0.9637194275856018
13,13,0.9705880880355835
13,13,0.9817008674144745
13,13,0.9448113441467285
13,13,0.892218679189682
13,13,0.9150916934013367
13,13,0.9057571291923523
13,13,0.9328328371047974
13,13,0.9244897663593292
13,13,0.9413814842700958
14,14,0.9860287308692932
14,14,0.937049925327301
14,14,0.9744775891304016
14,14,0.9147257804870605
14,14,0.92549267411232
14,14,0.9279311895370483
14,14,0.9419894218444824
14,14,0.9714165925979614
14,14,0.924031525850296
14,14,0.9386005103588104
15,15,0.972258448600769
15,15,0.8970688581466675
15,15,0.9412179589271545
15,15,0.8434814810752869
15,15,0.8477979600429535
15,15,0.8982158899307251
15,15,0.9138418138027191
16,16,0.9300278425216675
16,16,0.9826184213161469
16,16,0.9820308685302734
16,16,0.982071727514267
17,17,0.9247792661190033
17,17,0.912140429019928
17,17,0.8754122257232666
17,17,0.8940732479095459
17,17,0.9033650755882263
17,17,0.9688688814640045
17,17,0.9677620232105255
17,17,0.9438519179821014
17,17,0.940965861082077
17,17,0.8734139502048492
17,17,0.9003593027591705
17,17,0.8845492601394653
17,17,0.9120040833950043
18,18,0.943079799413681
18,18,0.8480600118637085
18,18,0.9390681982040405
18,18,0.9586490094661713
18,18,0.9119813740253448
18,18,0.8888853788375854
18,18,0.8772926330566406
18,18,0.9137027859687805
19,19,0.9042978882789612
19,19,0.8993058204650879
19,19,0.9144800901412964
19,19,0.9298827052116394
19,19,0.9098240733146667
19,19,0.9506027698516846
19,19,0.8809835910797119
19,19,0.852454662322998
19,19,0.8710418939590454
19,19,0.9046969711780548
19,19,0.965144157409668
19,19,0.9023947417736053
19,19,0.9103521108627319
19,19,0.9449066519737244
20,20,0.9516919255256653
20,20,0.8958918452262878
20,20,0.8858479857444763
20,20,0.9100555181503296
20,20,0.9636994004249573
20,20,0.9646139144897461
20,20,0.8808431029319763
21,21,0.9106950461864471
21,21,0.9352711737155914
21,21,0.9242076873779297
21,21,0.8680707812309265
21,21,0.9289544820785522
21,21,0.965991199016571
21,21,0.9013262689113617
22,22,0.9587522149085999
22,22,0.924098789691925
22,22,0.8753870725631714
22,22,0.8703292608261108
22,22,0.9700888395309448
22,22,0.9262983202934265
22,22,0.9274162948131561
22,22,0.8761698305606842
22,22,0.8688925206661224
22,22,0.9864489138126373
22,22,0.9008148908615112
22,22,0.9269904494285583
22,22,0.97092604637146
22,22,0.9892296493053436
22,22,0.9800214171409607
22,22,0.9282605051994324
22,22,0.9650411307811737
22,22,0.9273195862770081
22,22,0.9235695600509644
22,22,0.9435362815856934
22,22,0.8669419288635254
22,22,0.9304353594779968
22,22,0.9164401888847351
22,22,0.9377857148647308
23,23,0.9175216555595398
23,23,0.9863131046295166
23,23,0.9787625372409821
23,23,0.8330404758453369
23,23,0.8308278918266296
23,23,0.8993331789970398
23,23,0.9797642827033997
23,23,0.9966963231563568
23,23,0.9879100620746613
23,23,0.932757705450058
23,23,0.8802414536476135
23,23,0.8587212562561035
23,23,0.9706608653068542
24,24,0.9644006490707397
24,24,0.9014596939086914
